date,metric,value,baseline_7d,pct_change_7d,point_change_7d,direction,severity
2026-03-18,success_rate,62.0,98.06,-36.77,-36.06,down,12.02
2026-03-18,failure_rate,36.5,1.76,1973.86,34.74,up,11.58
2026-03-18,total_transactions,184899.0,519373.0,-64.4,,down,2.58
2026-03-18,tpv,842.73,2278.63,-63.02,,down,2.52
2026-04-22,total_transactions,1010739.0,540812.0,86.89,,up,3.48
2026-04-22,avg_ticket_size,307.328,442.92,-30.61,,down,2.04
2026-04-22,tpv,3106.28,2452.12,26.68,,up,1.07
2026-05-22,failure_rate,5.97,1.6,273.12,4.37,up,1.46
2026-05-22,success_rate,93.91,98.21,-4.38,-4.3,down,1.43
2026-05-23,success_rate,93.36,98.16,-4.89,-4.8,down,1.6
2026-05-23,failure_rate,6.34,1.73,266.47,4.61,up,1.54
2026-05-24,success_rate,93.24,98.16,-5.01,-4.92,down,1.64
2026-05-24,failure_rate,6.6,1.73,281.5,4.87,up,1.62
2026-05-25,success_rate,94.08,97.88,-3.88,-3.8,down,1.27
2026-05-25,failure_rate,5.65,1.91,195.81,3.74,up,1.25
2026-05-27,failure_rate,1.79,5.97,-70.02,-4.18,down,1.39
2026-05-27,success_rate,97.98,93.91,4.33,4.07,up,1.36
2026-05-28,failure_rate,1.08,5.97,-81.91,-4.89,down,1.63
2026-05-28,success_rate,98.67,93.91,5.07,4.76,up,1.59
2026-05-29,failure_rate,1.55,5.97,-74.04,-4.42,down,1.47
2026-05-29,success_rate,98.23,93.91,4.6,4.32,up,1.44
2026-05-30,success_rate,98.55,94.08,4.75,4.47,up,1.49
2026-05-30,failure_rate,1.25,5.65,-77.88,-4.4,down,1.47
2026-06-11,refunds,12804.0,2324.0,450.95,,up,9.02
