date,total_transactions,tpv,success_rate,failure_rate,avg_ticket_size,refunds,unique_merchants,total_transactions_baseline_7d,total_transactions_baseline_30d,total_transactions_pct_change_7d,total_transactions_pct_change_30d,tpv_baseline_7d,tpv_baseline_30d,tpv_pct_change_7d,tpv_pct_change_30d,success_rate_baseline_7d,success_rate_baseline_30d,success_rate_pct_change_7d,success_rate_pct_change_30d,failure_rate_baseline_7d,failure_rate_baseline_30d,failure_rate_pct_change_7d,failure_rate_pct_change_30d,avg_ticket_size_baseline_7d,avg_ticket_size_baseline_30d,avg_ticket_size_pct_change_7d,avg_ticket_size_pct_change_30d,refunds_baseline_7d,refunds_baseline_30d,refunds_pct_change_7d,refunds_pct_change_30d,unique_merchants_baseline_7d,unique_merchants_baseline_30d,unique_merchants_pct_change_7d,unique_merchants_pct_change_30d
2026-02-01,464569,2108.02,97.95,1.77,453.76,1934,148921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02,499415,2273.32,98.03,1.77,455.2,1942,150714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,508097,2234.61,98.42,1.34,439.8,2243,150376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04,517703,2347.7,98.38,1.48,453.48,1498,150212,499415.0,,3.661884404753562,,2234.61,,5.060838356581224,,98.03,,0.3570335611547427,,1.77,,-16.384180790960453,,453.76,,-0.06170662905500104,,1942.0,,-22.86302780638517,,150376.0,,-0.10905995637601744,
2026-02-05,500843,2275.81,98.19,1.67,454.4,2062,150494,503756.0,,-0.5782561398772421,,2253.965,,0.9691809766344995,,98.205,,-0.01527417137620342,,1.625,,2.7692307692307647,,453.62,,0.17195009038401585,,1938.0,,6.398348813209494,,150294.0,,0.13307251121135905,
2026-02-06,501639,2203.62,98.24,1.66,439.28,2199,150878,500843.0,,0.15893204057958282,,2273.32,,-3.066000387099056,,98.19,,0.05092168245238533,,1.67,,-0.5988023952095813,,453.76,,-3.1911142454160832,,1942.0,,13.233779608650876,,150376.0,,0.3338298664680534,
2026-02-07,479084,2289.96,98.58,1.28,477.99,1562,150288,501241.0,,-4.420428496471757,,2253.965,,1.5969635730812097,,98.215,,0.3716336608460977,,1.665,,-23.123123123123122,,453.62,,5.372338080331556,,2002.0,,-21.978021978021978,,150435.0,,-0.0977166217967893,
2026-02-08,472291,2158.88,98.02,1.82,457.11,2159,150217,500843.0,,-5.7007884706385035,,2273.32,,-5.034047120510973,,98.24,,-0.22394136807817475,,1.66,,9.63855421686748,,453.76,,0.7382757404795537,,1942.0,,11.1740473738414,,150376.0,,-0.10573495770601692,
2026-02-09,501645,2167.76,98.36,1.5,432.13,2091,151116,500843.0,,0.16013002078495656,,2273.32,,-4.643428993718436,,98.24,,0.12214983713355512,,1.66,,-9.638554216867465,,454.4,,-4.9009683098591506,,2062.0,,1.4064015518913677,,150376.0,,0.49209980316007873,
2026-02-10,512703,2357.66,98.14,1.74,459.85,1944,150297,501639.0,,2.2055701410775477,,2234.61,,5.506553716308426,,98.36,,-0.22366815778771745,,1.5,,16.0,,453.48,,1.404692599453119,,2091.0,,-7.030129124820659,,150376.0,,-0.05253497898600841,
2026-02-11,503291,2191.23,98.13,1.74,435.38,2172,151526,501639.0,501241.0,0.3293204874421646,0.4089848994794919,2275.81,2253.965,-3.7164789679279,-2.7833173984511794,98.24,98.215,-0.11197068403908737,-0.08654482512855262,1.66,1.665,4.81927710843374,4.504504504504501,454.4,454.08,-4.1857394366197145,-4.118217054263564,2062.0,2003.0,5.33462657613967,8.437343984023963,150297.0,150336.5,0.8177142591003148,0.791225018541738
2026-02-12,504060,2327.78,98.53,1.28,461.81,2588,149957,501639.0,501639.0,0.48261797826724,0.48261797826724,2203.62,2234.61,5.634365271689325,4.16940763712684,98.19,98.19,0.34626744067624343,0.34626744067624343,1.67,1.67,-23.35329341317365,-23.35329341317365,454.4,453.76,1.630721830985921,1.774065585331455,2091.0,2062.0,23.768531802965086,25.50921435499515,150494.0,150376.0,-0.35682485680492243,-0.2786348885460446
2026-02-13,512066,2393.29,98.45,1.41,467.38,2094,152263,501645.0,501642.0,2.077365467611558,2.0779759270555496,2203.62,2253.965,8.607200878554384,6.181329346285316,98.24,98.215,0.21376221498372147,0.23927098712009306,1.66,1.665,-15.060240963855422,-15.315315315315322,457.11,454.08,2.2467239832862944,2.9289992952783677,2159.0,2076.5,-3.0106530801296896,0.842764266795088,150297.0,150336.5,1.3080766748504626,1.2814585945528862
2026-02-14,451599,1976.6,98.44,1.38,437.69,1862,151938,503291.0,501645.0,-10.270797610130124,-9.97637771731005,2289.96,2273.32,-13.684081818023028,-13.052275966427965,98.36,98.24,0.08133387555916866,0.20358306188925374,1.5,1.66,-8.000000000000007,-16.867469879518072,459.85,454.4,-4.818962705229971,-3.6773767605633756,2094.0,2091.0,-11.0792741165234,-10.95169775227164,150297.0,150376.0,1.0918381604423242,1.0387295845081663
2026-02-15,454079,2108.97,98.59,1.21,464.45,1712,151884,503291.0,501642.0,-9.778040934568669,-9.481462875915494,2191.23,2253.965,-3.754055941183729,-6.432886047476351,98.36,98.3,0.23383489223261894,0.29501525940997586,1.5,1.58,-19.333333333333336,-23.417721518987346,457.11,454.08,1.6057404125921497,2.283738548273433,2094.0,2076.5,-18.242597898758355,-17.553575728389117,151116.0,150435.0,0.5082188517430318,0.9632067005683518
2026-02-16,506242,2309.43,98.21,1.56,456.19,1809,152586,503291.0,501639.0,0.5863407054765534,0.9175921329880651,2191.23,2234.61,5.394230637587101,3.348235262529019,98.44,98.36,-0.23364485981308816,-0.15250101667345028,1.41,1.5,10.638297872340436,4.0000000000000036,459.85,454.4,-0.7959117103403338,0.3939260563380327,2091.0,2062.0,-13.486370157819225,-12.269641125121241,151526.0,150494.0,0.6995499122262846,1.390088641407631
2026-02-17,502412,2322.81,98.4,1.49,462.33,2218,153252,504060.0,501642.0,-0.32694520493592033,0.15349591940068813,2309.43,2253.965,0.579363739104459,3.0543952545846893,98.44,98.3,-0.040633888663136976,0.10172939979654987,1.41,1.53,5.6737588652482325,-2.6143790849673225,459.85,454.79999999999995,0.5393062955311431,1.655672823219004,1944.0,2003.0,14.094650205761317,10.733899151273091,151884.0,150604.0,0.9006873666745675,1.7582534328437494
2026-02-18,516827,2472.77,98.11,1.63,478.45,1846,152851,503291.0,501645.0,2.689497725967681,3.0264430025217037,2309.43,2273.32,7.072740892774414,8.77351186810479,98.44,98.36,-0.33522958147094506,-0.2541683611224075,1.41,1.5,15.602836879432624,8.66666666666666,461.81,455.2,3.6032134427578413,5.107644991212654,2094.0,2062.0,-11.843361986628462,-10.475266731328807,151938.0,150714.0,0.6009029999078571,1.417917379938161
2026-02-19,505058,2254.17,98.3,1.48,446.32,2038,150687,504060.0,502028.5,0.1979923025036702,0.603451796063371,2322.81,2274.565,-2.9550415229829334,-0.8966549647954656,98.44,98.3,-0.1422186103210083,0.0,1.41,1.53,4.964539007092203,-3.2679738562091534,462.33,455.695,-3.4628944693184502,-2.0572970956451138,1862.0,2003.0,9.452201933404941,1.7473789316025963,152263.0,150796.0,-1.0350511943150995,-0.0722830844319478
2026-02-20,500647,2196.31,98.16,1.72,438.69,1883,151256,505058.0,502412.0,-0.8733650392628174,-0.3513053032172799,2309.43,2273.32,-4.898178338377863,-3.3875565252582223,98.4,98.3,-0.24390243902439948,-0.14242115971515826,1.48,1.5,16.216216216216218,14.666666666666664,462.33,455.2,-5.113230809162284,-3.6269771528998227,1862.0,2038.0,1.1278195488721803,-7.60549558390579,152263.0,150714.0,-0.6613556806315388,0.3596215348275542
2026-02-21,488635,2133.66,98.23,1.5,436.66,2071,151900,502412.0,502028.5,-2.7421717634132943,-2.667876425342386,2254.17,2263.745,-5.346091909660772,-5.7464511241328,98.3,98.27,-0.0712105798575719,-0.040704182354728856,1.49,1.53,0.671140939597316,-1.960784313725492,456.19,454.79999999999995,-4.281110940616842,-3.9885664028144086,1862.0,1991.0,11.224489795918368,4.018081366147665,151938.0,150796.0,-0.02501020152957127,0.7321149102098199
2026-02-22,473309,2071.97,98.38,1.34,437.76,1972,152540,502412.0,501645.0,-5.79265622636402,-5.648616053185021,2254.17,2254.17,-8.082797659448945,-8.082797659448945,98.23,98.24,0.15270284027282038,0.14250814332247616,1.5,1.5,-10.666666666666663,-10.666666666666663,456.19,454.4,-4.039983340274887,-3.661971830985913,1883.0,2038.0,4.726500265533723,-3.23846908734053,151900.0,150878.0,0.4213298222514812,1.1015522475112343
2026-02-23,518299,2326.35,97.95,1.93,448.84,2342,153054,502412.0,501642.0,3.162145808619221,3.3204954928016397,2254.17,2244.3900000000003,3.202065505263571,3.651771750898889,98.23,98.27,-0.2850453018426154,-0.32563345883788863,1.5,1.5,28.666666666666664,28.666666666666664,446.32,454.08,0.5646173149309872,-1.1539816772374933,1972.0,2005.0,18.76267748478702,16.80798004987531,152540.0,150997.0,0.33696079716795596,1.3622787207692868
2026-02-24,503628,2292.1,98.83,1.02,455.12,1886,152179,502412.0,501645.0,0.24203243553099849,0.3952994647609365,2254.17,2254.17,1.6826592493023966,1.6826592493023966,98.23,98.24,0.6108113610913105,0.6005700325732933,1.5,1.5,-32.0,-32.0,446.32,453.76,1.9716795124574322,0.29971791255289437,2038.0,2038.0,-7.45829244357213,-7.45829244357213,152540.0,151116.0,-0.23665923692146323,0.7034331242224516
2026-02-25,513547,2332.28,97.9,1.84,454.15,1984,153029,503628.0,502028.5,1.9695092409476835,2.2943916530635216,2254.17,2263.745,3.4651335081205112,3.0275053064722535,98.23,98.27,-0.3359462486002222,-0.376513686781307,1.5,1.5,22.66666666666667,22.66666666666667,446.32,454.08,1.754346657107005,0.015415785764621472,1972.0,2005.0,0.6085192697768762,-1.0473815461346634,152179.0,151186.0,0.5585527569506963,1.21902821689839
2026-02-26,521153,2409.85,97.84,1.91,462.41,1829,152395,503628.0,502412.0,3.4797509272717164,3.730205488722403,2254.17,2273.32,6.906311413957236,6.005753699435176,98.23,98.24,-0.39702738470935617,-0.407166123778493,1.5,1.5,27.333333333333325,27.333333333333325,446.32,454.15,3.6050367449363754,1.8187823406363643,1984.0,1984.0,-7.8125,-7.8125,152179.0,151256.0,0.14193811235452988,0.7530279790553763
